01;BEAUPONT;beaupont;Beaupont;1270;624
01;BRENS;brens;Brens;1300;1158
01;RAMASSE;ramasse;Ramasse;1250;250
01;DIVONNE-LES-BAINS;divonne les bains;Divonne-les-Bains;1220;8160
01;LEAZ;leaz;Léaz;1200;569
01;VILLES;villes;Villes;1200;385
01;SAINT-JULIEN-SUR-REYSSOUZE;saint julien sur reyssouze;Saint-Julien-sur-Reyssouze;1560;668
01;GROSLEE;groslee;Groslée;1680;353
01;VANDEINS;vandeins;Vandeins;1660;619
01;VERJON;verjon;Verjon;1270;250
01;SAINT-ANDRE-SUR-VIEUX-JONC;saint andre sur vieux jonc;Saint-André-sur-Vieux-Jonc;1240;1079
01;SAINT-ANDRE-D'HUIRIAT;saint andre d huiriat;Saint-André-d'Huiriat;1290;543
01;GRILLY;grilly;Grilly;1220;762
01;CESSY;cessy;Cessy;1170;3992
01;ORDONNAZ;ordonnaz;Ordonnaz;1510;141
01;VESCOURS;vescours;Vescours;1560;208
01;MEILLONNAS;meillonnas;Meillonnas;1370;1298
01;GEOVREISSET;geovreisset;Géovreisset;1100;903
01;CEYZERIEU;ceyzerieu;Ceyzérieu;1350;929
01;BEARD-GEOVREISSIAT;beard geovreissiat;Béard-Géovreissiat;1460;925
01;LA BURBANCHE;la burbanche;La Burbanche;1510;72
01;PERREX;perrex;Perrex;1540;826
01;VILLEMOTIER;villemotier;Villemotier;1270;632
01;JASSERON;jasseron;Jasseron;1250;1552
01;CORVEISSIAT;corveissiat;Corveissiat;1250;602
01;JOURNANS;journans;Journans;1250;324
01;SERMOYER;sermoyer;Sermoyer;1190;669
01;CHARIX;charix;Charix;1130;294
01;ARBIGNIEU;arbignieu;Arbignieu;1300;480
01;LEYSSARD;leyssard;Leyssard;1450;153
01;SAINT-JEAN-DE-THURIGNEUX;saint jean de thurigneux;Saint-Jean-de-Thurigneux;1390;710
01;FRANS;frans;Frans;1480;1984
01;TENAY;tenay;Tenay;1230;1120
01;BAGE-LA-VILLE;bage la ville;Bâgé-la-Ville;1380;3040
01;MONTMERLE-SUR-SAONE;montmerle sur saone;Montmerle-sur-Saône;1090;3823
01;COURMANGOUX;courmangoux;Courmangoux;1370;507
01;BANEINS;baneins;Baneins;1990;572
01;LAGNIEU;lagnieu;Lagnieu;1150;6756
01;ATTIGNAT;attignat;Attignat;1340;2936
01;SAINT-ANDRE-DE-BAGE;saint andre de bage;Saint-André-de-Bâgé;1380;635
01;PONT-DE-VAUX;pont de vaux;Pont-de-Vaux;1190;2205
01;AMBERIEU-EN-BUGEY;amberieu en bugey;Ambérieu-en-Bugey;1500;13835
01;PEYZIEUX-SUR-SAONE;peyzieux sur saone;Peyzieux-sur-Saône;1140;473
01;CROZET;crozet;Crozet;1170;1862
01;SEYSSEL;seyssel;Seyssel;1420;942
01;BEYNOST;beynost;Beynost;1700;4475
01;VERSONNEX;versonnex;Versonnex;1210;2144
01;SAINT-LAURENT-SUR-SAONE;saint laurent sur saone;Saint-Laurent-sur-Saône;1620;1749
01;ARTEMARE;artemare;Artemare;1510;1126
01;MONTRACOL;montracol;Montracol;1310;967
01;PARVES;parves;Parves;1300;360
01;PUGIEU;pugieu;Pugieu;1510;168
01;VIRIEU-LE-GRAND;virieu le grand;Virieu-le-Grand;1510;1156
01;SAINT-REMY;saint remy;Saint-Rémy;1310;906
01;RANCE;rance;Rancé;1390;641
01;GRIEGES;grieges;Grièges;1290;1899
01;GRAND-CORENT;grand corent;Grand-Corent;1250;161
01;OUTRIAZ;outriaz;Outriaz;1430;256
01;MONTAGNIEU;montagnieu;Montagnieu;1470;495
01;CHAMPAGNE-EN-VALROMEY;champagne en valromey;Champagne-en-Valromey;1260;765
01;AMBERIEUX-EN-DOMBES;amberieux en dombes;Ambérieux-en-Dombes;1330;1616
01;LA BOISSE;la boisse;La Boisse;1120;2928
01;PARCIEUX;parcieux;Parcieux;1600;1095
01;SAINT-DIDIER-D'AUSSIAT;saint didier d aussiat;Saint-Didier-d'Aussiat;1340;863
01;SAINT-NIZIER-LE-BOUCHOUX;saint nizier le bouchoux;Saint-Nizier-le-Bouchoux;1560;703
01;ARS-SUR-FORMANS;ars sur formans;Ars-sur-Formans;1480;1367
01;ANGLEFORT;anglefort;Anglefort;1350;994
01;CORLIER;corlier;Corlier;1110;124
01;FERNEY-VOLTAIRE;ferney voltaire;Ferney-Voltaire;1210;8025
01;SAINT-MAURICE-DE-REMENS;saint maurice de remens;Saint-Maurice-de-Rémens;1500;709
01;CHATILLON-LA-PALUD;chatillon la palud;Châtillon-la-Palud;1320;1562
01;SAINT-SULPICE;saint sulpice;Saint-Sulpice;1340;142
01;SAINT-BOIS;saint bois;Saint-Bois;1300;123
01;VIRIGNIN;virignin;Virignin;1300;855
01;PREMILLIEU;premillieu;Prémillieu;1110;36
01;GENOUILLEUX;genouilleux;Genouilleux;1090;609
01;REYSSOUZE;reyssouze;Reyssouze;1190;929
01;COLLONGES;collonges;Collonges;1550;1897
01;SAINT-GERMAIN-DE-JOUX;saint germain de joux;Saint-Germain-de-Joux;1130;480
01;BREGNIER-CORDON;bregnier cordon;Brégnier-Cordon;1300;832
01;SAINT-MARTIN-LE-CHATEL;saint martin le chatel;Saint-Martin-le-Châtel;1310;790
01;MARIGNIEU;marignieu;Marignieu;1300;148
01;LES NEYROLLES;les neyrolles;Neyrolles;1130;637
01;SULIGNAT;sulignat;Sulignat;1400;569
01;BENY;beny;Bény;1370;724
01;INJOUX-GENISSIAT;injoux genissiat;Injoux-Génissiat;1200;1055
01;CHANAY;chanay;Chanay;1420;617
01;CHATILLON-SUR-CHALARONNE;chatillon sur chalaronne;Châtillon-sur-Chalaronne;1400;4922
01;FARGES;farges;Farges;1550;854
01;SAINT-ALBAN;saint alban;Saint-Alban;1450;163
01;CURTAFOND;curtafond;Curtafond;1310;702
01;VIRIAT;viriat;Viriat;1440;6006
01;BELLEYDOUX;belleydoux;Belleydoux;1130;321
01;BAGE-LE-CHATEL;bage le chatel;Bâgé-le-Châtel;1380;796
01;SAINTE-OLIVE;sainte olive;Sainte-Olive;1330;303
01;SAINT-GENIS-SUR-MENTHON;saint genis sur menthon;Saint-Genis-sur-Menthon;1380;408
01;DOMSURE;domsure;Domsure;1270;473
